,YMD,Diesel,Benzina,Gpl,Metano,Etanolo,Idrogeno (FCEV),Ibride,Ibride elettriche (HEV),Ibride elettriche plug-in (PHEV+REx),Elettriche (BEV)
0,2012-12-31,46002,27906,9620,3854,1.0,,692.0,,,57.0
1,2013-01-31,59876,36678,11219,5485,,,964.0,,,33.0
2,2013-02-28,59308,35396,9369,4237,0.0,,895.0,,,8.0
3,2013-03-31,72464,39364,11914,7661,1.0,,1113.0,,,36.0
4,2013-04-30,61082,37740,10168,6627,1.0,,1051.0,,,56.0
5,2013-05-31,72518,44579,11441,6604,1.0,,1450.0,,,118.0
6,2013-06-30,65967,38062,11137,6067,1.0,,1170.0,,,151.0
7,2013-07-31,58777,32507,9595,5767,0.0,,1302.0,,,70.0
8,2013-08-31,28429,15561,5372,3459,0.0,,449.0,,,40.0
9,2013-09-30,58414,31612,9645,5842,,,1542.0,,,69.0
10,2013-10-31,61269,34267,9264,5364,0.0,,1501.0,,,79.0
11,2013-11-30,57552,29233,8709,5699,1.0,,1413.0,,,122.0
12,2013-12-31,49440,25678,7731,5216,0.0,,1456.0,,,69.0
13,2014-01-31,65932,35648,9715,5852,,,1546.0,,,34.0
14,2014-02-28,66011,37341,9836,4313,,,1553.0,,,63.0
15,2014-03-31,80232,41533,10572,5877,0.0,,1769.0,,,132.0
16,2014-04-30,68496,35884,8896,5066,0.0,,1414.0,,,47.0
17,2014-05-31,72895,37715,12391,6711,0.0,,2713.0,,,130.0
18,2014-06-30,71017,37407,11565,6209,0.0,,1930.0,,,142.0
19,2014-07-31,63773,31277,11438,6700,0.0,,1405.0,,,98.0
20,2014-08-31,29604,14720,5346,3348,0.0,,646.0,,,33.0
21,2014-09-30,58964,31977,10937,7591,,,1853.0,,,72.0
22,2014-10-31,66627,33914,12423,7943,1.0,,2112.0,,,151.0
23,2014-11-30,60428,28893,11357,6496,0.0,,1841.0,,,91.0
24,2014-12-31,49054,26614,9520,5957,,,1689.0,,,86.0
25,2015-01-31,72739,39025,11990,6441,,,2168.0,,,143.0
26,2015-02-28,76397,40394,11150,5597,,,1906.0,,,115.0
27,2015-03-31,90886,50317,12168,6229,,,2442.0,,,327.0
28,2015-04-30,82300,46390,12641,5618,,,2014.0,,,91.0
29,2015-05-31,81621,46206,11632,5375,,,2161.0,,,92.0
30,2015-06-30,81616,45056,12066,5826,,,2314.0,,,151.0
31,2015-07-31,71223,42931,10825,5518,,,1668.0,,,90.0
32,2015-08-31,33418,17980,4539,2742,,,834.0,,,43.0
33,2015-09-30,70611,43016,8950,5767,,,2628.0,,,80.0
34,2015-10-31,74481,42932,8766,5316,,,2423.0,,,90.0
35,2015-11-30,77872,41382,9020,4447,,,2449.0,,,88.0
36,2015-12-31,62914,34623,6780,3832,,,2324.0,,,110.0
37,2016-01-31,87734,51665,8698,4702,,,3250.0,,,114.0
38,2016-02-29,97451,58644,9411,4774,,,3528.0,,,75.0
39,2016-03-31,108341,65104,10297,4812,,,3255.0,,,199.0
40,2016-04-30,92067,59668,9495,4412,,,2966.0,,,88.0
41,2016-05-31,108062,62939,10091,4237,,,3559.0,,,92.0
42,2016-06-30,95200,54385,9366,3952,,,3052.0,,,92.0
43,2016-07-31,81055,42911,7894,2807,,,2629.0,,,71.0
44,2016-08-31,42503,22168,4340,1559,,,1523.0,,,47.0
45,2016-09-30,89251,50614,8264,3174,,,3900.0,,,143.0
46,2016-10-31,87209,46267,8262,3130,,,3393.0,,,145.0
47,2016-11-30,88842,44848,8384,3256,,,3459.0,,,108.0
48,2016-12-31,76084,38689,7601,2845,,,3546.0,,,196.0
49,2017-01-31,94940,58374,11413,3089,,,4663.0,,,188.0
50,2017-02-28,103619,61684,11642,2620,,,5350.0,,,118.0
51,2017-03-31,128041,75728,13847,3514,,,5771.0,,,217.0
52,2017-04-30,93913,50651,9725,1982,,,4675.0,,,94.0
53,2017-05-31,114475,68189,12803,2656,,,6841.0,,,136.0
54,2017-06-30,111126,56007,12747,2683,,,6283.0,,,191.0
55,2017-07-31,82114,45579,11449,1978,,,5301.0,,,142.0
56,2017-08-31,48546,24873,6056,1586,,,2946.0,,,97.0
57,2017-09-30,97453,51965,9713,3264,,,5956.0,,,180.0
58,2017-10-31,88706,50189,10900,3184,,,6636.0,,,220.0
59,2017-11-30,89265,47513,11240,3279,,,6763.0,,,143.0
60,2017-12-31,71046,37011,8056,2823,,,4856.0,,,153.0
